"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Ale (Mug)","PHB","none","food and drink","","","","4 cp",""
"Alexandrite","DMG","none","treasure","","","","500 gp","A transparent dark green gemstone."
"Amber","DMG","none","treasure","","","","100 gp","A transparent watery gold to rich gold gemstone."
"Amethyst","DMG","none","treasure","","","","100 gp","A transparent deep purple gemstone."
"Amulet","PHB","none","spellcasting focus","","","1 lb.","5 gp","A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
"Antimatter Rifle","DMG","none","firearm, futuristic, martial weapon, ranged weapon","","6d8, necrotic, - ammunition (120/360 ft.), reload (2 shots), two-handed","10 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Antitoxin (vial)","PHB","none","adventuring gear","","","","50 gp","A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs."
"Aquamarine","DMG","none","treasure","","","","500 gp","A transparent pale blue-green gemstone."
"Arcane Focus","PHB","none","spellcasting focus","","","","","An arcane focus is a special item—an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item—designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.Multiple variations of this item exist, as listed below:CrystalOrbRodStaffWand"
"Arrow","PHB","none","ammunition","","","0.8 oz.","5 cp",""
"Arrows (20)","PHB","none","ammunition","","","1 lb.","1 gp",""
"Artisan's Tools","PHB","none","artisan's tools","","","","","Multiple variations of this item exist, as listed below:Alchemist's SuppliesBrewer's SuppliesCalligrapher's SuppliesCarpenter's ToolsCartographer's ToolsCobbler's ToolsCook's UtensilsGlassblower's ToolsJeweler's ToolsLeatherworker's ToolsMason's ToolsPainter's SuppliesPotter's ToolsSmith's ToolsTinker's ToolsWeaver's ToolsWoodcarver's ToolsSee the Tool Proficiencies entry for more information."
"Assassin's Blood","DMG","none","adventuring gear, poison (ingested)","","","","150 gp","A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save, it takes 6 (1d12) poison damage and is poisoned for 24 hours. On a successful save, the creature takes half damage and isn't poisoned."
"Automatic Pistol","DMG","none","firearm, modern, martial weapon, ranged weapon","","2d6, piercing, - ammunition (50/150 ft.), reload (15 shots)","3 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice)."
"Automatic Rifle","DMG","none","firearm, modern, martial weapon, ranged weapon","","2d8, piercing, - ammunition (80/240 ft.), burst fire, reload (30 shots), two-handed","8 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Burst Fire. A weapon that has the burst fire property can make a single-target attack, or it can spray a 10-foot-cube area within normal range with shots. Each creature in the area must succeed on a DC 15 Dexterity saving throw or take the weapon's normal damage. This action uses ten pieces of ammunition. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Axe Beak","IDRotF","none","mount","","","","50 gp","An axe beak's splayed toes allow it to run across snow, and it can carry as much weight as a mule. A domesticated axe beak can be purchased in Ten-Towns for 50 gp."
"Azurite","DMG","none","treasure","","","","10 gp","An opaque mottled deep blue gemstone."
"Backpack","PHB","none","adventuring gear","","","5 lb.","2 gp","A backpack can hold one cubic foot or 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack."
"Backpack Parachute","WDH","unknown","other","","","","","A humanoid wearing this piece of gear can deploy the parachute as a reaction while falling, or as an action otherwise. The parachute requires at least a 10-foot cube of unoccupied space in which to deploy, and it doesn't open fast enough to slow a fall of less than 60 feet. If it has sufficient time and space to deploy properly, the parachute allows its wearer to land without taking falling damage. Once it has been used, the parachute takes 10 minutes to repack."
"Bagpipes","PHB","none","instrument","","","6 lb.","30 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Ball Bearing","PHB","none","adventuring gear","","","0.032 oz.","0.1 cp","Most commonly found inside a bag of ball bearings."
"Ball Bearings (bag of 1,000)","PHB","none","adventuring gear","","","2 lb.","1 gp","As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the saving throw."
"Banded Agate","DMG","none","treasure","","","","10 gp","A translucent striped brown, blue, white, or red gemstone."
"Barding","PHB","none","tack and harness","","","base weight ×2","×4","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much. Base items. This item variant can be applied to the following base items:Breastplate (Breastplate Barding)Chain Mail (Chain Mail Barding)Chain Shirt (Chain Shirt Barding)Half Plate Armor (Half Plate Barding)Hide Armor (Hide Barding)Leather Armor (Leather Barding)Padded Armor (Padded Barding)Plate Armor (Plate Barding)Ring Mail (Ring Mail Barding)Scale Mail (Scale Mail Barding)Spiked Armor (Spiked Barding)Splint Armor (Splint Barding)Studded Leather Armor (Studded Leather Barding)"
"Barking Box","WDH","unknown","other","","","","","This metal cube, 6 inches on a side, has a crank on top. Using an action to wind the crank activates the box for 8 hours. While activated, the box barks whenever it detects vibrations within 15 feet of it, as long as the box and the source of the vibrations are in contact with the same ground or substance. A switch on one side of the box sets the device to emit either a small dog's bark or a large dog's bark."
"Barrel","PHB","none","adventuring gear","","","70 lb.","2 gp","A barrel can hold 40 gallons of liquid or 4 cubic feet of solids."
"Basic Poison (vial)","PHB","none","adventuring gear, poison","","","","100 gp","You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying."
"Basket","PHB","none","adventuring gear","","","2 lb.","4 sp","A basket holds 2 cubic feet or 40 pounds of gear."
"Battleaxe","PHB","none","martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","4 lb.","10 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Bedroll","PHB","none","adventuring gear","","","7 lb.","1 gp",""
"Bejeweled ivory drinking horn with gold filigree","DMG","none","treasure","","","","7,500 gp",""
"Bell","PHB","none","adventuring gear","","","","1 gp",""
"Birdpipes","SCAG","none","instrument","","","","","Pan pipes or satyr pipes, also known as the shalm, these are sacred to Lliira and popular with wood elf and wild elf bards.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Bit and bridle","PHB","none","tack and harness","","","1 lb.","2 gp",""
"Black Opal","DMG","none","treasure","","","","1,000 gp","A translucent dark green with black mottling and golden flecks gemstone."
"Black Pearl","DMG","none","treasure","","","","500 gp","An opaque pure black gemstone."
"Black Sap","EGW","none","potion","","","","300 gp","This tarry substance harvested from the dark boughs of the death's head willow is a powerful intoxicant. It can be smoked as a concentrate or injected directly into the bloodstream. A creature subjected to a dose of black sap cannot be charmed or frightened for 1d6 hours.For each dose of black sap consumed, a creature must succeed on a DC 15 Constitution saving throw or become poisoned for 2d4 hours—an effect that is cumulative with multiple doses."
"Black Sapphire","DMG","none","treasure","","","","5,000 gp","A translucent lustrous black with glowing highlights gemstone."
"Black velvet mask stitched with silver thread","DMG","none","treasure","","","","25 gp",""
"Blanket","PHB","none","adventuring gear","","","3 lb.","5 sp",""
"Blasting Powder","EGW","none","adventuring gear","","","","","This volatile alchemical powder comes in a small pouch. When ignited by an open flame or a fuse, the powder explodes. Each creature within 5 feet of the exploding pouch must make a DC 13 Dexterity saving throw, taking 3d6 bludgeoning damage on a failed save, or half as much damage on a successful one.A character can bind multiple pouches of blasting powder together so they explode at the same time. Each additional pouch increases the damage by 1d6 (maximum of 10d6) and the blast radius by 5 feet (maximum of 20 feet)."
"Blight Ichor","EGW","none","potion","","","","200 gp","This bitter chartreuse concoction is distilled from a fungus native to the Blightshore badlands. The sickly green liqueur harbors potent psychedelic properties. Provided it is neither a construct nor undead, a creature subjected to a dose of blight ichor gains advantage on Intelligence and Wisdom checks, as well as vulnerability to psychic damage, for 1 hour. For each dose of blight ichor consumed, the creature must succeed on a DC 15 Constitution saving throw or become poisoned for 1d6 hours and suffer the effects of a confusion spell for 1 minute. An undead creature subjected to a dose of blight ichor gains advantage on all Dexterity checks and is immune to the frightened condition for 1 hour."
"Block and Tackle","PHB","none","adventuring gear","","","5 lb.","1 gp","A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift."
"Bloodstone","DMG","none","treasure","","","","50 gp","An opaque dark gray with red flecks gemstone."
"Blowgun","PHB","none","martial weapon, ranged weapon","","1, piercing, - ammunition (25/100 ft.), loading","1 lb.","10 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Blowgun Needle","PHB","none","ammunition","","","0.32 oz.","2 cp",""
"Blowgun Needles (50)","PHB","none","ammunition","","","1 lb.","1 gp",""
"Blue Quartz","DMG","none","treasure","","","","10 gp","A transparent pale blue gemstone."
"Blue Sapphire","DMG","none","treasure","","","","1,000 gp","A transparent blue-white to medium blue gemstone."
"Blue Spinel","DMG","none","treasure","","","","500 gp","A transparent deep blue gemstone."
"Bomb","DMG","none","renaissance, explosive","","","1 lb.","150 gp","As an action, a character can light this bomb and throw it at a point up to 60 feet away. Each creature within 5 feet of that point must succeed on a DC 12 Dexterity saving throw or take 3d6 fire damage."
"Book","PHB","none","adventuring gear","","","5 lb.","25 gp","A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook."
"Bottle stopper cork embossed with gold leaf and set with amethysts","DMG","none","treasure","","","","750 gp",""
"Box of turquoise animal figurines","DMG","none","treasure","","","","250 gp",""
"Brass mug with jade inlay","DMG","none","treasure","","","","250 gp",""
"Breastplate","PHB","none","medium armor","","AC 14 + Dex (max 2)","20 lb.","400 gp","This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
"Brewer's Supplies","PHB","none","artisan's tools","","","9 lb.","20 gp","Brewing is the art of producing beer. Not only does beer serve as an alcoholic beverage, but the process of brewing purifies water. Crafting beer takes weeks of fermentation, but only a few hours of work. Components. Brewer's supplies include a large glass jug, a quantity of hops, a siphon, and several feet of tubing. History. Proficiency with brewer's supplies gives you additional insight on Intelligence (History) checks concerning events that involve alcohol as a significant element. Medicine. This tool proficiency grants additional insight when you treat anyone suffering from alcohol poisoning or when you can use alcohol to dull pain. Persuasion. A stiff drink can help soften the hardest heart. Your proficiency with brewer's supplies can help you ply someone with drink, giving them just enough alcohol to mellow their mood. Potable Water. Your knowledge of brewing enables you to purify water that would otherwise be undrinkable. As part of a long rest, you can purify up to 6 gallons of water, or 1 gallon as part of a short rest.Brewer's SuppliesActivityDCDetect poison or impurities in a drink10Identify alcohol15Ignore effects of alcohol20See the Tool Proficiencies entry for more information."
"Bronze crown","DMG","none","treasure","","","","250 gp",""
"Bucket","PHB","none","adventuring gear","","","2 lb.","5 cp","A bucket holds 3 gallons of liquid or ½ cubic foot of solids."
"Bullseye Lantern","PHB","none","adventuring gear","","","2 lb.","10 gp","A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
"Burglar's Pack","PHB","none","adventuring gear","","","44½ lb.","16 gp","Includes:a backpacka bag of 1,000 ball bearings10 feet of stringa bell5 candlesa crowbara hammer10 pitonsa hooded lantern2 flasks of oil5 days rationsa tinderboxa waterskin50 feet of hempen rope"
"Burnt Othur Fumes","DMG","none","adventuring gear, poison (inhaled)","","","","500 gp","A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage, and must repeat the saving throw at the start of each of its turns. On each successive failed save, the character takes 3 (1d6) poison damage. After three successful saves, the poison ends."
"Calligrapher's Supplies","PHB","none","artisan's tools","","","5 lb.","10 gp","Calligraphy treats writing as a delicate, beautiful art. Calligraphers produce text that is pleasing to the eye, using a style that is difficult to forge. Their supplies also give them some ability to examine scripts and determine if they are legitimate, since a calligrapher's training involves long hours of studying writing and attempting to replicate its style and design. Components. Calligrapher's supplies include ink, a dozen sheets of parchment, and three quills. Arcana. Although calligraphy is of little help in deciphering the content of magical writings, proficiency with these supplies can aid in identifying who wrote a script of a magical nature. History. This tool proficiency can augment the benefit of successful checks made to analyze or investigate ancient writings, scrolls, or other texts, including runes etched in stone or messages in frescoes or other displays. Decipher Treasure Map. This tool proficiency grants you expertise in examining maps. You can make an Intelligence check to determine a map's age, whether a map includes any hidden messages, or similar facts.Calligrapher's SuppliesActivityDCIdentify writer of nonmagical script10Determine writer's state of mind15Spot forged text15Forge a signature20See the Tool Proficiencies entry for more information."
"Caltrop","PHB","none","adventuring gear","","","1.6 oz.","5 cp","As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
"Caltrops (bag of 20)","PHB","none","adventuring gear","","","2 lb.","1 gp","As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
"Camel","PHB","none","mount","","Speed: 50, Carrying Capacity: 480 lb.","","50 gp",""
"Candle","PHB","none","adventuring gear","","","","1 cp","For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet."
"Canoe","ToA","none","vehicle (water)","","Speed: 2 mphCarrying Capacity: 6 passengersCrew 1, AC 11, HP 50","100 lb.","50 gp","A canoe can be purchased in Port Nyanzaru for 50 gp. It holds up to six Medium creatures and has a maximum speed of 2 mph. It is otherwise identical to a rowboat."
"Canvas (1 sq. yd.)","PHB","none","trade good","","","","1 sp",""
"Carnelian","DMG","none","treasure","","","","50 gp","An opaque orange to red-brown gemstone."
"Carpenter's Tools","PHB","none","artisan's tools","","","6 lb.","8 gp","Skill at carpentry enables a character to construct wooden structures. A carpenter can build a house, a shack, a wooden cabinet, or similar items. Components. Carpenter's tools include a saw, a hammer, nails, a hatchet, a square, a ruler, an adze, a plane, and a chisel. History. This tool proficiency aids you in identifying the use and the origin of wooden buildings and other large wooden objects. Investigation. You gain additional insight when inspecting areas within wooden structures, because you know tricks of construction that can conceal areas from discovery. Perception. You can spot irregularities in wooden walls or floors, making it easier to find trap doors and secret passages. Stealth. You can quickly assess the weak spots in a wooden floor, making it easier to avoid the places that creak and groan when they're stepped on. Fortify. With 1 minute of work and raw materials, you can make a door or window harder to force open. Increase the DC needed to open it by 5. Temporary Shelter. As part of a long rest, you can construct a lean-to or a similar shelter to keep your group dry and in the shade for the duration of the rest. Because it was fashioned quickly from whatever wood was available, the shelter collapses 1d3 days after being assembled.Carpenter's ToolsActivityDCBuild a simple wooden structure10Design a complex wooden structure15Find a weak point in a wooden wall15Pry apart a door20See the Tool Proficiencies entry for more information."
"Carriage","PHB","none","vehicle (land)","","","600 lb.","100 gp",""
"Carrion Crawler Mucus","DMG","none","adventuring gear, poison (contact)","","","","200 gp","This poison must be harvested from a dead or incapacitated carrion crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
"Cart","PHB","none","vehicle (land)","","","200 lb.","15 gp",""
"Cartographer's Tools","PHB","none","artisan's tools","","","6 lb.","15 gp","Using cartographer's tools, you can create accurate maps to make travel easier for yourself and those who come after you. These maps can range from large-scale depictions of mountain ranges to diagrams that show the layout of a dungeon level. Components. Cartographer's tools consist of a quill, ink, parchment, a pair of compasses, calipers, and a ruler. Arcana, History, Religion. You can use your knowledge of maps and locations to unearth more detailed information when you use these skills. For instance, you might spot hidden messages in a map, identify when the map was made to determine if geographical features have changed since then, and so forth. Nature. Your familiarity with physical geography makes it easier for you to answer questions or solve issues relating to the terrain around you. Survival. Your understanding of geography makes it easier to find paths to civilization, to predict areas where villages or towns might be found, and to avoid becoming lost. You have studied so many maps that common patterns, such as how trade routes evolve and where settlements arise in relation to geographic locations, are familiar to you. Craft a Map. While traveling, you can draw a map as you go in addition to engaging in other activity.Cartographer's ToolsActivityDCDetermine a map's age and origin10Estimate direction and distance to a landmark15Discern that a map is fake15Fill in a missing part of a map20See the Tool Proficiencies entry for more information."
"Carved bone statuette","DMG","none","treasure","","","","25 gp",""
"Carved harp of exotic wood with ivory inlay and zircon gems","DMG","none","treasure","","","","750 gp",""
"Carved ivory statuette","DMG","none","treasure","","","","250 gp",""
"Ceremonial electrum dagger with a black pearl in the pommel","DMG","none","treasure","","","","750 gp",""
"Chain (10 feet)","PHB","none","adventuring gear","","","10 lb.","5 gp","A chain has 10 hit points. It can be burst with a successful DC 20 Strength check."
"Chain Mail","PHB","none","heavy armor","","AC 16","55 lb.","75 gp","Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Shirt","PHB","none","medium armor","","AC 13 + Dex (max 2)","20 lb.","50 gp","Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
"Chalcedony","DMG","none","treasure","","","","50 gp","An opaque white gemstone."
"Chalk (1 piece)","PHB","none","adventuring gear","","","","1 cp",""
"Chariot","PHB","none","vehicle (land)","","","100 lb.","250 gp",""
"Chest","PHB","none","adventuring gear","","","25 lb.","5 gp","A chest holds 12 cubic feet or 300 pounds of gear."
"Chicken","PHB","none","trade good","","","","2 cp",""
"Chrysoberyl","DMG","none","treasure","","","","100 gp","A transparent yellow-green to pale green gemstone."
"Chrysoprase","DMG","none","treasure","","","","50 gp","A translucent green gemstone."
"Chunk of Meat","PHB","none","food and drink","","","","3 sp",""
"Cinnamon","PHB","none","trade good","","","1 lb.","2 gp",""
"Citrine","DMG","none","treasure","","","","50 gp","A transparent pale yellow-brown gemstone."
"Climber's Kit","PHB","none","adventuring gear","","","12 lb.","25 gp","A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor."
"Cloth-of-gold vestments","DMG","none","treasure","","","","25 gp",""
"Clothing, cold weather","IDRotF","none","adventuring gear","","","5 lb.","10 gp","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.As long as cold weather clothing remains dry, its wearer automatically succeeds on saving throws against the effects of extreme cold."
"Cloves","PHB","none","trade good","","","1 lb.","3 gp",""
"Club","PHB","none","simple weapon, melee weapon","","1d4, bludgeoning, - light","2 lb.","1 sp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Cobbler's Tools","PHB","none","artisan's tools","","","5 lb.","5 gp","Although the cobbler's trade might seem too humble for an adventurer, a good pair of boots will see a character across rugged wilderness and through deadly dungeons. Components. Cobbler's tools consist of a hammer, an awl, a knife, a shoe stand, a cutter, spare leather, and thread. Arcana, History. Your knowledge of shoes aids you in identifying the magical properties of enchanted boots or the history of such items. Investigation. Footwear holds a surprising number of secrets. You can learn where someone has recently visited by examining the wear and the dirt that has accumulated on their shoes. Your experience in repairing shoes makes it easier for you to identify where damage might come from. Maintain Shoes. As part of a long rest, you can repair your companions' shoes. For the next 24 hours, up to six creatures of your choice who wear shoes you worked on can travel up to 10 hours a day without making saving throws to avoid exhaustion. Craft Hidden Compartment. With 8 hours of work, you can add a hidden compartment to a pair of shoes. The compartment can hold an object up to 3 inches long and 1 inch wide and deep. You make an Intelligence check using your tool proficiency to determine the Intelligence (Investigation) check DC needed to find the compartment.Cobbler's ToolsActivityDCDetermine a shoe's age and origin10Find a hidden compartment in a boot heel15See the Tool Proficiencies entry for more information."
